gps_millis,gnss_id,sv_id,corr_pr_m,pr_uncertainty_m,x_sv_m,y_sv_m,z_sv_m
1302557712441,glonass,24,23240060.57,9.294,-22680907.812,-9478480.541,-6808698.262
1302557712441,galileo,13,26207835.551,8.094,-23096172.864,-17532377.604,-5907590.591
1302557712441,galileo,15,23411699.637,4.797,-11993793.739,-23759441.954,12948805.171
1302557712441,beidou,6,40976394.446,8.094,-16293853.427,20929977.004,33144341.037
1302557712441,galileo,21,27449216.198,11.992,-17725824.451,10994644.892,20995107.96
1302557712441,beidou,37,21886707.051000003,2.099,-16281451.128,-12515022.635,18916501.43
1302557712441,gps,17,23643516.172000002,2.099,12005048.878,-13299029.29,20034000.46
1302557712441,glonass,22,20129840.823,5.696,-1377456.985,-12247820.464,22299218.195
1302557712441,galileo,27,23739937.461999997,5.696,-13517338.205,-11271517.63,23799311.619
1302557712441,gps,19,21345631.016000003,4.797,2747175.374,-14475289.295,21808330.971
1302557712441,gps,25,25046430.974,8.094,-17849309.436,12325620.986,14875040.511
1302557712441,galileo,30,24276596.299000002,0.899,-645191.067,-27137193.26,11808971.6
1302557712441,beidou,23,22628213.109000005,2.698,-8653501.71,-26103998.042,4741359.618
1302557712441,beidou,27,24291140.033000004,7.195,-26173288.319,-9624255.761,634064.204
1302557712441,gps,2,21162006.477,3.298,-13098036.244,-22695492.938,4823933.127
1302557712441,beidou,28,21582580.559,3.598,-14205611.375,-17216493.781,16751072.796
1302557712441,gps,6,20718625.366,2.099,-3037367.706,-22156555.075,14344367.951
1302557712441,galileo,13,26207832.899,1.199,-23096172.868,-17532377.606,-5907590.572
1302557712441,gps,12,21735977.816,15.889,-15689176.024,-1701953.295,21085536.304
1302557712441,beidou,11,25691987.43,4.197,15439449.111,-9323283.738,21343328.694
1302557712441,gps,14,24869148.954,5.096,13096383.458,-23093880.659,-85229.822
1302557712441,glonass,23,20123726.927,4.797,-19600628.226,-14764496.535,6938365.47
1302557712441,glonass,12,19451094.901000004,2.698,-6440733.028,-21329751.075,12460732.728
1302557712441,galileo,27,23739937.504,2.398,-13517338.201,-11271517.644,23799311.614
1302557712441,beidou,16,41016231.495,6.296,-12305293.551,21747089.61,34051152.225
1302557712441,galileo,30,24276595.297000002,2.998,-645191.069,-27137193.252,11808971.617
1302557712441,gps,28,24211895.951,2.099,11802806.145,-23682163.163,3884151.305
1302557712441,galileo,15,23411698.949,0.899,-11993793.734,-23759441.947,12948805.188
1302557712441,gps,6,20718626.151,0.6,-3037367.697,-22156555.064,14344367.97
