azimuth(deg),crater_rim_elevation(deg)
0.0,23.203125
12.0,21.796875
24.0,18.984375
36.0,17.578125
48.0,17.578125
60.0,16.171875
72.0,17.578125
84.0,18.984375
96.0,18.984375
108.0,17.578125
120.0,17.578125
132.0,13.359375
144.0,9.140625
156.0,10.546875
168.0,13.359375
180.0,14.765625
192.0,14.765625
204.0,16.171875
216.0,14.765625
228.0,13.359375
240.0,13.359375
251.99999999999997,14.765625
264.0,16.171875
276.0,20.390625
288.0,23.203125
300.0,23.203125
312.0,24.609375
324.0,24.609375
336.0,24.609375
348.0,24.609375
