azimuth(deg),crater_rim_elevation(deg)
0.0,2.109375
12.0,6.328125
24.0,11.953125
36.0,14.765625
48.0,14.765625
60.0,11.953125
72.0,9.140625
84.0,6.328125
96.0,4.921875
108.0,3.515625
120.0,2.109375
132.0,2.109375
144.0,3.515625
156.0,3.515625
168.0,3.515625
180.0,6.328125
192.0,7.734375
204.0,10.546875
216.0,11.953125
228.0,14.765625
240.0,17.578125
251.99999999999997,14.765625
264.0,9.140625
276.0,4.921875
288.0,3.515625
300.0,3.515625
312.0,3.515625
324.0,3.515625
336.0,3.515625
348.0,3.515625
